n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
420,0.42,25.132741228721926,3.5775826745521044e-12,1.4234749174372127e-13,-10.053096491488557,1.2185807918285718e-12,1.2121447286021947e-13,5.026548245744858,1.1883827255587676e-12,2.3642123132211897e-13,17.30391940705997,4.918391063313265e-07,2.842356744394418e-08,17.303919407059976,4.918391098840402e-07,2.8423567649256837e-08,4.3841223488482434e-16,0.0,4.687428401686771e-13,1.3777217407692052e-16,1.3964002692975948e-16,4.124264606963963e-19,5.343614741212065e-10
440,0.44,25.132741228722093,3.744560217455728e-12,1.489913170783339e-13,-10.053096491488606,1.2683187833317788e-12,1.2616200236471824e-13,5.02654824574492,1.2505552149377763e-12,2.487900550833659e-13,17.30391943726589,5.220450276510746e-07,3.016917902868052e-08,17.303919437265893,5.220450276510746e-07,3.0169179028680514e-08,1.4725510439276184e-16,0.0,2.3013249603851656e-13,1.5446083382031393e-16,1.5615224434499442e-16,6.620657857458262e-19,5.565801724154334e-10
460,0.46,25.132741228722267,3.9186431877169525e-12,1.5591785838463214e-13,-10.05309649148866,1.3216094885137863e-12,1.3146292683382403e-13,5.026548245744986,1.3162804179955856e-12,2.618656687738269e-13,17.30391946673778,5.515169192449321e-07,3.187237075873036e-08,17.30391946673778,5.515169156922184e-07,3.1872370553417686e-08,1.4841639129956883e-16,0.0,4.743637797012786e-13,1.3123150312214454e-16,1.3200114480920996e-16,1.0114954096116435e-18,5.805019684257456e-10
480,0.48,25.132741228722427,4.078515303262975e-12,1.622789677475591e-13,-10.05309649148871,1.3713474800169934e-12,1.364104563383228e-13,5.026548245745054,1.3837819778927951e-12,2.752946774288949e-13,17.303919495398194,5.80177331954701e-07,3.3528666818032764e-08,17.303919495398198,5.80177331954701e-07,3.352866681803275e-08,2.992411091255593e-16,0.0,3.4152279280065327e-13,1.4492680681551343e-16,1.2670323321879187e-16,1.479974125813282e-18,6.05678497284747e-10
500,0.5,25.132741228722594,4.245492846166599e-12,1.6892279308217174e-13,-10.053096491488754,1.4157564010019996e-12,1.4082789339591097e-13,5.0265482457451185,1.4486190025309043e-12,2.881935936370524e-13,17.303919523185343,6.079644805367934e-07,3.513449661405949e-08,17.303919523185346,6.079644805367934e-07,3.513449661405948e-08,1.5086690587970405e-16,0.0,1.1457157353758233e-13,1.4728740286370281e-16,1.331537020089022e-16,2.0993269810508184e-18,6.325196283777523e-10
520,0.52,25.132741228722754,4.405364961712621e-12,1.752839024450987e-13,-10.0530964914888,1.4619416788264061e-12,1.4542202793580266e-13,5.026548245745187,1.5170087408478139e-12,3.0179929977442394e-13,17.30391955005168,6.348308190240459e-07,3.668711244743698e-08,17.30391955005168,6.348308154713322e-07,3.6687112242124314e-08,6.086191524164029e-16,0.0,2.2837069025155467e-13,1.513020797887557e-16,1.4524047367282195e-16,2.9253308749285167e-18,6.613251854253742e-10
540,0.54,25.13274122872292,4.572342504616245e-12,1.819277277797113e-13,-10.053096491488848,1.5099033134902129e-12,1.501928599579979e-13,5.026548245745255,1.5853984791647235e-12,3.154050059117955e-13,17.303919575962553,6.607416906945218e-07,3.818451149313431e-08,17.303919575962556,6.607416906945218e-07,3.8184511493134304e-08,4.604507295309155e-16,0.0,9.128469485094744e-13,1.2380202582464234e-16,1.329556205061375e-16,4.0403855632844724e-18,6.917649879039625e-10
560,0.56,25.132741228723095,4.746425474877469e-12,1.8885426908600957e-13,-10.053096491488892,1.5543122344752192e-12,1.5461029701558607e-13,5.026548245745321,1.6511236822225328e-12,3.2848061960225653e-13,17.303919600894844,6.856739815930268e-07,3.962535798696374e-08,17.303919600894847,6.856739815930268e-07,3.9625357986963734e-08,3.097053593738408e-16,0.0,4.655004020764636e-13,1.1431195138572906e-16,1.3509930937978766e-16,5.540685663507522e-18,7.242598690482268e-10
580,0.58,25.132741228723265,4.916955731459893e-12,1.95639452406465e-13,-10.053096491488937,1.5987211554602254e-12,1.5902773407317423e-13,5.026548245745394,1.723954312637943e-12,3.4296981315114573e-13,17.303919624835583,7.096147207619197e-07,4.10089023323914e-08,17.303919624835586,7.096147207619197e-07,4.1008902332391394e-08,0.0,0.0,4.552466771099645e-13,1.4585212125151238e-16,1.3561877515955015e-16,7.509810587976956e-18,7.590783341910828e-10
600,0.6,25.132741228723425,5.076827847005916e-12,2.0200056176939196e-13,-10.053096491488983,1.644906433284632e-12,1.6362186861306595e-13,5.026548245745464,1.794120407794253e-12,3.5692891425312434e-13,17.303919647780695,7.325598332386107e-07,4.233490903579244e-08,17.3039196477807,7.325598332386107e-07,4.233490903579243e-08,3.1541926869606794e-16,0.0,4.655004020764636e-13,1.151348335560108e-16,1.4204104659271864e-16,9.990862128759981e-18,7.96011154479548e-10
